"","X","year_ceremony","category","film","winner","year","genre1","genre2","genre3","rating","gross","runtime"
"765","175",2007,"BEST PICTURE","Babel","False",2006,"Drama",NA,NA,NA,"2.5e+07",143
"766","176",2007,"BEST PICTURE","Little Miss Sunshine","False",2006,"Comedy","Drama",NA,NA,"8e+06",102
"767","908",2007,"INTERNATIONAL FEATURE FILM","The Lives of Others","True",2006,"Drama","Mystery","Thriller",8.4,"11286112",137
"768","910",2007,"INTERNATIONAL FEATURE FILM","Pan's Labyrinth","False",2006,"Drama","Fantasy","War",8.2,"37634615",118
"769","173",2007,"INTERNATIONAL FEATURE FILM","After the Wedding","False",2006,"Drama",NA,NA,NA,NA,124
"770","1743",2007,"INTERNATIONAL FEATURE FILM","Water","False",2005,"Romance","Drama",NA,NA,NA,115
"771","671",2007,"INTERNATIONAL FEATURE FILM","Days of Glory (Indigenes)","False",NA,NA,NA,NA,NA,NA,NA
"772","919",2007,"WRITING","Children of Men","False",2006,"Action","Drama","Sci-Fi",7.9,"35552383",109
"773","922",2007,"WRITING","The Departed","True",2006,"Crime","Drama","Thriller",8.5,"132384315",151
"774","924",2007,"WRITING","Little Children","False",2006,"Drama","Romance",NA,7.5,"5463019",137
"775","925",2007,"WRITING","Notes on a Scandal","False",2006,"Crime","Drama","Romance",7.4,"17508670",92
"776","928",2007,"WRITING","Letters from Iwo Jima","False",2006,"Action","Adventure","Drama",7.9,"13756082",141
"777","932",2007,"WRITING","Pan's Labyrinth","False",2006,"Drama","Fantasy","War",8.2,"37634615",118
"778","934",2007,"WRITING","The Queen","False",2006,"Biography","Drama",NA,7.3,"56441711",103
"779","177",2007,"WRITING","Babel","False",2006,"Drama",NA,NA,NA,"2.5e+07",143
"780","1781",2007,"WRITING","Little Miss Sunshine","True",2006,"Comedy","Drama",NA,NA,"8e+06",102
"781","685",2007,"WRITING","Borat Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan","False",NA,NA,NA,NA,NA,NA,NA
"782","935",2008,"ANIMATED FEATURE FILM","Persepolis","False",2007,"Animation","Biography","Drama",8,"4445756",96
"783","939",2008,"ANIMATED FEATURE FILM","Ratatouille","True",2007,"Animation","Adventure","Comedy",8.1,"206445654",111
"784","943",2008,"ANIMATED FEATURE FILM","Surf's Up","False",2007,"Animation","Adventure","Comedy",6.7,"58867694",85
"785","956",2008,"BEST PICTURE","Atonement","False",2007,"Drama","Mystery","Romance",7.8,"50927067",123
"786","959",2008,"BEST PICTURE","Michael Clayton","False",2007,"Crime","Drama","Mystery",7.2,"49033882",119
"787","962",2008,"BEST PICTURE","No Country for Old Men","True",2007,"Crime","Drama","Thriller",8.2,"74283625",122
"788","1791",2008,"BEST PICTURE","Juno","False",2007,"Comedy","Drama","Romance",NA,"7500000",96
"789","1801",2008,"BEST PICTURE","There Will Be Blood","False",2007,"Drama",NA,NA,NA,"2.5e+07",158
"790","947",2008,"INTERNATIONAL FEATURE FILM","Beaufort","False",2007,"Action","Drama","War",6.7,"101299",131
"791","949",2008,"INTERNATIONAL FEATURE FILM","The Counterfeiters","True",2007,"Crime","Drama","History",7.5,"5484715",99
"792","952",2008,"INTERNATIONAL FEATURE FILM","Katyn","False",2007,"Drama","History","War",7,"118095",121
"793","954",2008,"INTERNATIONAL FEATURE FILM","12","False",2007,"Crime","Drama","Thriller",7.6,"125120",159
"794","692",2008,"INTERNATIONAL FEATURE FILM","Mongol","False",NA,NA,NA,NA,NA,NA,NA
