"","year_ceremony","category","film","winner","year","genre1","genre2","genre3","rating","gross","runtime"
"2710",1983,"BEST PICTURE","E.T. The Extra-Terrestrial","False",NA,NA,NA,NA,NA,NA,NA
"257",1983,"INTERNATIONAL FEATURE FILM","Alsino and the Condor","False",1982,"Drama","War",NA,6.3,NA,"89"
"258",1983,"INTERNATIONAL FEATURE FILM","The Flight of the Eagle","False",1982,"Adventure","Biography","Drama",7.2,NA,"140"
"711",1983,"INTERNATIONAL FEATURE FILM","Private Life","False",1982,NA,NA,NA,NA,NA,"102"
"253",1983,"INTERNATIONAL FEATURE FILM","Coup de Torchon ('Clean Slate')","False",NA,NA,NA,NA,NA,NA,NA
"263",1983,"INTERNATIONAL FEATURE FILM","Volver a Empezar ('To Begin Again')","True",NA,NA,NA,NA,NA,NA,NA
"267",1983,"WRITING","Missing","True",1982,"Biography","Drama","History",7.7,1.4e+07,"122"
"271",1983,"WRITING","Sophie's Choice","False",1982,"Drama","Romance",NA,7.5,30036000,"150"
"272",1983,"WRITING","Victor/Victoria","False",1982,"Comedy","Music","Romance",7.6,21933614,"134"
"273",1983,"WRITING","Gandhi","True",1982,"Biography","Drama","History",8,52767889,"191"
"275",1983,"WRITING","An Officer and a Gentleman","False",1982,"Drama","Romance",NA,7,129795552,"124"
"276",1983,"WRITING","Tootsie","False",1982,"Comedy","Drama","Romance",7.4,177200000,"116"
"732",1983,"WRITING","Das Boot","False",1981,"Drama","History","War",NA,1.4e+07,"150"
"741",1983,"WRITING","The Verdict","False",1982,"Drama",NA,NA,NA,1.6e+07,"129"
"754",1983,"WRITING","Diner","False",1982,"Comedy","Drama",NA,NA,NA,"110"
"282",1983,"WRITING","E.T. The Extra-Terrestrial","False",NA,NA,NA,NA,NA,NA,NA
"281",1984,"BEST PICTURE","The Right Stuff","False",1983,"Adventure","Biography","Drama",7.8,21500000,"193"
"762",1984,"BEST PICTURE","The Big Chill","False",1983,"Comedy","Drama",NA,NA,NA,"105"
"771",1984,"BEST PICTURE","The Dresser","False",1983,"Drama",NA,NA,NA,NA,"118"
"782",1984,"BEST PICTURE","Tender Mercies","False",1983,"Drama","Music","Romance",NA,NA,"92"
"792",1984,"BEST PICTURE","Terms of Endearment","True",1983,"Comedy","Drama",NA,NA,8e+06,"132"
"277",1984,"INTERNATIONAL FEATURE FILM","Carmen","False",1983,"Drama","Music","Romance",7.5,NA,"102"
"278",1984,"INTERNATIONAL FEATURE FILM","Entre Nous","False",1983,"Biography","Drama","War",7,NA,"110"
"279",1984,"INTERNATIONAL FEATURE FILM","Entre Nous","False",1983,"Biography","Drama","War",7.1,NA,"110"
"280",1984,"INTERNATIONAL FEATURE FILM","Le Bal","False",1983,"History","Musical",NA,7.7,NA,"109"
"296",1984,"INTERNATIONAL FEATURE FILM","Fanny & Alexander","True",NA,NA,NA,NA,NA,NA,NA
"302",1984,"INTERNATIONAL FEATURE FILM","Job's Revolt","False",NA,NA,NA,NA,NA,NA,NA
"284",1984,"WRITING","Betrayal","False",1983,"Drama","Thriller",NA,6.9,NA,"95"
"285",1984,"WRITING","Reuben, Reuben","False",1983,"Comedy","Drama","Romance",6.8,NA,"101"
"286",1984,"WRITING","Silkwood","False",1983,"Biography","Drama","History",7.1,35615609,"131"
"289",1984,"WRITING","WarGames","False",1983,"Action","Drama","Sci-Fi",7.1,79568000,"114"
"80",1984,"WRITING","The Dresser","False",1983,"Drama",NA,NA,NA,NA,"118"
"812",1984,"WRITING","Educating Rita","False",1983,"Drama","Comedy",NA,NA,NA,"110"
"82",1984,"WRITING","Terms of Endearment","True",1983,"Comedy","Drama",NA,NA,8e+06,"132"
"834",1984,"WRITING","The Big Chill","False",1983,"Comedy","Drama",NA,NA,NA,"105"
"843",1984,"WRITING","Tender Mercies","True",1983,"Drama","Music","Romance",NA,NA,"92"
"315",1984,"WRITING","Fanny & Alexander","False",NA,NA,NA,NA,NA,NA,NA
"294",1985,"BEST PICTURE","Amadeus","True",1984,"Biography","Drama","Music",8.4,51973029,"160"
"295",1985,"BEST PICTURE","The Killing Fields","False",1984,"Biography","Drama","History",7.8,34700291,"141"
"298",1985,"BEST PICTURE","A Passage to India","False",1984,"Adventure","Drama","History",7.3,27187653,"164"
"300",1985,"BEST PICTURE","A Soldier's Story","False",1984,"Crime","Drama","Mystery",7.2,21821347,"101"
"872",1985,"BEST PICTURE","Places in the Heart","False",1984,"Drama","Family",NA,NA,NA,"111"
"292",1985,"INTERNATIONAL FEATURE FILM","Camila","False",1984,"Drama","Romance",NA,6.8,NA,"105"
"293",1985,"INTERNATIONAL FEATURE FILM","Dangerous Moves","True",1984,"Drama","Sport","Thriller",6.7,NA,"100"
"852",1985,"INTERNATIONAL FEATURE FILM","Beyond the Walls","False",1984,"Drama",NA,NA,NA,NA,"103"
"862",1985,"INTERNATIONAL FEATURE FILM","Double Feature","False",1984,"Drama",NA,NA,NA,NA,"115"
"322",1985,"INTERNATIONAL FEATURE FILM","Wartime Romance","False",NA,NA,NA,NA,NA,NA,NA
"303",1985,"WRITING","Amadeus","True",1984,"Biography","Drama","Music",8.4,51973029,"160"
"304",1985,"WRITING","Greystoke: The Legend of Tarzan, Lord of the Apes","False",1984,"Adventure","Drama",NA,6.4,45900000,"143"
"305",1985,"WRITING","The Killing Fields","False",1984,"Biography","Drama","History",7.8,34700291,"141"
"308",1985,"WRITING","A Passage to India","False",1984,"Adventure","Drama","History",7.3,27187653,"164"
"310",1985,"WRITING","A Soldier's Story","False",1984,"Crime","Drama","Mystery",7.2,21821347,"101"
"313",1985,"WRITING","Beverly Hills Cop","False",1984,"Action","Comedy","Crime",7.3,234760478,"105"
"316",1985,"WRITING","El Norte","False",1983,"Adventure","Drama",NA,7.7,NA,"141"
"317",1985,"WRITING","Splash","False",1984,"Comedy","Fantasy","Romance",6.3,62100000,"111"
"881",1985,"WRITING","Broadway Danny Rose","False",1984,"Comedy",NA,NA,NA,8e+06,"84"
"892",1985,"WRITING","Places in the Heart","True",1984,"Drama","Family",NA,NA,NA,"111"
"324",1986,"BEST PICTURE","Out of Africa","True",1985,"Biography","Drama","Romance",7.1,87100000,"161"
"326",1986,"BEST PICTURE","Prizzi's Honor","False",1985,"Comedy","Crime","Drama",6.7,26700000,"130"
"328",1986,"BEST PICTURE","Witness","False",1985,"Drama","Romance","Thriller",7.4,68706993,"112"
"92",1986,"BEST PICTURE","The Color Purple","False",1985,"Drama",NA,NA,NA,1.5e+07,"154"
"931",1986,"BEST PICTURE","Kiss of the Spider Woman","False",1985,"Drama",NA,NA,NA,NA,"120"
"319",1986,"INTERNATIONAL FEATURE FILM","Angry Harvest","False",1985,"Drama","Romance","War",7.2,NA,"105"
"321",1986,"INTERNATIONAL FEATURE FILM","Colonel Redl","False",1985,"Biography","Drama","History",7.4,2357,"144"
"323",1986,"INTERNATIONAL FEATURE FILM","The Official Story","True",1985,"Drama","History",NA,7.7,29426,"112"
"901",1986,"INTERNATIONAL FEATURE FILM","Three Men and a Cradle","False",1985,"Comedy",NA,NA,NA,NA,"106"
"91",1986,"INTERNATIONAL FEATURE FILM","When Father Was Away on Business","False",1985,"Drama",NA,NA,NA,NA,"136"
"330",1986,"WRITING","Out of Africa","True",1985,"Biography","Drama","Romance",7.1,87100000,"161"
"332",1986,"WRITING","Prizzi's Honor","False",1985,"Comedy","Crime","Drama",6.7,26700000,"130"
"334",1986,"WRITING","Back to the Future","False",1985,"Adventure","Comedy","Sci-Fi",8.5,210609762,"116"
"336",1986,"WRITING","Brazil","False",1985,"Drama","Sci-Fi",NA,7.9,9929135,"132"
"337",1986,"WRITING","The Official Story","False",1985,"Drama","History",NA,7.7,29426,"112"
"338",1986,"WRITING","The Purple Rose of Cairo","False",1985,"Comedy","Fantasy","Romance",7.7,10631333,"82"
"340",1986,"WRITING","Witness","True",1985,"Drama","Romance","Thriller",7.4,68706993,"112"
"941",1986,"WRITING","The Color Purple","False",1985,"Drama",NA,NA,NA,1.5e+07,"154"
"951",1986,"WRITING","Kiss of the Spider Woman","False",1985,"Drama",NA,NA,NA,NA,"120"
"96",1986,"WRITING","The Trip to Bountiful","False",1985,"Drama",NA,NA,NA,NA,"108"
"346",1987,"BEST PICTURE","Children of a Lesser God","False",1986,"Drama","Romance",NA,7.2,31853080,"119"
"347",1987,"BEST PICTURE","The Mission","False",1986,"Adventure","Drama","History",7.4,17218023,"125"
"349",1987,"BEST PICTURE","Platoon","True",1986,"Drama","War",NA,8.1,138530565,"120"
"350",1987,"BEST PICTURE","A Room with a View","False",1985,"Drama","Romance",NA,7.2,20966644,"117"
"991",1987,"BEST PICTURE","Hannah and Her Sisters","False",1986,"Comedy","Drama",NA,NA,6400000,"107"
"342",1987,"INTERNATIONAL FEATURE FILM","The Assault","True",1986,"Drama","History","Romance",7.2,203781,"144"
"345",1987,"INTERNATIONAL FEATURE FILM","Betty Blue","False",1986,"Drama","Romance",NA,7.3,2003822,"119"
"97",1987,"INTERNATIONAL FEATURE FILM","The Decline of the American Empire","False",1986,"Comedy","Drama",NA,NA,NA,"101"
"98",1987,"INTERNATIONAL FEATURE FILM","My Sweet Little Village","False",1985,"Comedy",NA,NA,NA,NA,"98"
"333",1987,"INTERNATIONAL FEATURE FILM","'38'","False",NA,NA,NA,NA,NA,NA,NA
"351",1987,"WRITING","Children of a Lesser God","False",1986,"Drama","Romance",NA,7.2,31853080,"119"
"352",1987,"WRITING","The Color of Money","False",1986,"Drama","Sport",NA,7,52293982,"119"
"353",1987,"WRITING","A Room with a View","True",1985,"Drama","Romance",NA,7.2,20966644,"117"
"354",1987,"WRITING","Stand by Me","False",1986,"Adventure","Drama",NA,8.1,52287414,"89"
"355",1987,"WRITING","My Beautiful Laundrette","False",1985,"Comedy","Drama","Romance",6.8,2451545,"97"
"356",1987,"WRITING","Platoon","False",1986,"Drama","War",NA,8.1,138530565,"120"
"357",1987,"WRITING","Salvador","False",1986,"Drama","History","Thriller",7.4,NA,"122"
"100",1987,"WRITING","Crimes of the Heart","False",1986,"Drama","Family",NA,NA,NA,"105"
"1016",1987,"WRITING","Hannah and Her Sisters","True",1986,"Comedy","Drama",NA,NA,6400000,"107"
"341",1987,"WRITING","'Crocodile' Dundee","False",NA,NA,NA,NA,NA,NA,NA
"363",1988,"BEST PICTURE","Broadcast News","False",1987,"Comedy","Drama","Romance",7.2,51249404,"133"
"364",1988,"BEST PICTURE","Fatal Attraction","False",1987,"Drama","Thriller",NA,6.9,156645693,"119"
"365",1988,"BEST PICTURE","Hope and Glory","False",1987,"Comedy","Drama","Romance",7.3,10021120,"113"
"366",1988,"BEST PICTURE","The Last Emperor","True",1987,"Biography","Drama","History",7.7,43984230,"163"
"368",1988,"BEST PICTURE","Moonstruck","False",1987,"Comedy","Drama","Romance",7.1,80640528,"102"
"360",1988,"INTERNATIONAL FEATURE FILM","The Family","False",1987,"Drama","Romance",NA,7.4,346730,"127"
"361",1988,"INTERNATIONAL FEATURE FILM","Pathfinder","False",1987,"Action","Adventure","Drama",7.2,NA,"86"
"1021",1988,"INTERNATIONAL FEATURE FILM","Babette's Feast","True",1987,"Comedy","Drama",NA,NA,NA,"102"
"103",1988,"INTERNATIONAL FEATURE FILM","Course Completed","False",1987,"Drama",NA,NA,NA,NA,"94"
"359",1988,"INTERNATIONAL FEATURE FILM","Au Revoir Les Enfants (Goodbye, Children)","False",NA,NA,NA,NA,NA,NA,NA
"369",1988,"WRITING","Fatal Attraction","False",1987,"Drama","Thriller",NA,6.9,156645693,"119"
"370",1988,"WRITING","Full Metal Jacket","False",1987,"Drama","War",NA,8.3,46357676,"116"
"371",1988,"WRITING","The Last Emperor","True",1987,"Biography","Drama","History",7.7,43984230,"163"
"373",1988,"WRITING","Broadcast News","False",1987,"Comedy","Drama","Romance",7.2,51249404,"133"
"374",1988,"WRITING","Hope and Glory","False",1987,"Comedy","Drama","Romance",7.3,10021120,"113"
"375",1988,"WRITING","Moonstruck","True",1987,"Comedy","Drama","Romance",7.1,80640528,"102"
"1042",1988,"WRITING","The Dead","False",1987,"Drama",NA,NA,NA,NA,"83"
"105",1988,"WRITING","Radio Days","False",1987,"Comedy","Drama","Music",NA,1.6e+07,"90"
"367",1988,"WRITING","My Life as a Dog","False",NA,NA,NA,NA,NA,NA,NA
"3710",1988,"WRITING","Au Revoir Les Enfants (Goodbye, Children)","False",NA,NA,NA,NA,NA,NA,NA
"378",1989,"BEST PICTURE","The Accidental Tourist","False",1988,"Drama","Romance",NA,6.7,32632093,"121"
"379",1989,"BEST PICTURE","Dangerous Liaisons","False",1988,"Drama","Romance",NA,7.6,34700000,"119"
"380",1989,"BEST PICTURE","Mississippi Burning","False",1988,"Crime","Drama","Mystery",7.8,34603943,"128"
"383",1989,"BEST PICTURE","Working Girl","False",1988,"Comedy","Drama","Romance",6.8,6.4e+07,"113"
"109",1989,"BEST PICTURE","Rain Man","True",1988,"Drama",NA,NA,NA,2.5e+07,"134"
"376",1989,"INTERNATIONAL FEATURE FILM","Hanussen","False",1988,"Drama","History",NA,7.2,82635,"140"
"377",1989,"INTERNATIONAL FEATURE FILM","Salaam Bombay!","False",1988,"Crime","Drama",NA,7.9,2080046,"113"
"1061",1989,"INTERNATIONAL FEATURE FILM","The Music Teacher","False",1988,"Music",NA,NA,NA,NA,"100"
"1072",1989,"INTERNATIONAL FEATURE FILM","Pelle the Conqueror","True",1987,"Drama",NA,NA,NA,NA,"157"
"1082",1989,"INTERNATIONAL FEATURE FILM","Women on the Verge of a Nervous Breakdown","False",1988,"Comedy","Drama",NA,NA,7e+05,"88"
"384",1989,"WRITING","The Accidental Tourist","False",1988,"Drama","Romance",NA,6.7,32632093,"121"
"385",1989,"WRITING","Dangerous Liaisons","True",1988,"Drama","Romance",NA,7.6,34700000,"119"
"386",1989,"WRITING","Gorillas in the Mist","False",1988,"Biography","Drama",NA,7,24720479,"129"
"387",1989,"WRITING","Little Dorrit","False",1987,"Drama","Romance",NA,7.2,1025228,"357"
"388",1989,"WRITING","The Unbearable Lightness of Being","False",1988,"Drama","Romance",NA,7.3,10006806,"171"
"389",1989,"WRITING","Big","False",1988,"Comedy","Drama","Fantasy",7.3,114968774,"104"
"391",1989,"WRITING","Bull Durham","False",1988,"Comedy","Romance","Sport",7,50888729,"108"
"393",1989,"WRITING","A Fish Called Wanda","False",1988,"Comedy","Crime",NA,7.5,63493712,"108"
"394",1989,"WRITING","Running on Empty","False",1988,"Crime","Drama","Music",7.6,2835116,"116"
"1106",1989,"WRITING","Rain Man","True",1988,"Drama",NA,NA,NA,2.5e+07,"134"
"401",1990,"BEST PICTURE","Born on the Fourth of July","False",1989,"Biography","Drama","War",7.2,70001698,"145"
"403",1990,"BEST PICTURE","Driving Miss Daisy","True",1989,"Comedy","Drama","Romance",7.3,106593296,"99"
"404",1990,"BEST PICTURE","Field of Dreams","False",1989,"Drama","Family","Fantasy",7.5,64431625,"107"
"407",1990,"BEST PICTURE","My Left Foot","False",1989,"Biography","Drama",NA,7.8,14743391,"103"
"1113",1990,"BEST PICTURE","Dead Poets Society","False",1989,"Drama",NA,NA,NA,16400000,"128"
"396",1990,"INTERNATIONAL FEATURE FILM","Camille Claudel","False",1988,"Biography","Drama","History",7.2,201055,"175"
"399",1990,"INTERNATIONAL FEATURE FILM","Cinema Paradiso","True",1988,"Drama","Romance",NA,8.5,11990401,"155"
"400",1990,"INTERNATIONAL FEATURE FILM","Jesus of Montreal","False",1989,"Drama","Romance",NA,7.5,1601612,"120"
"382",1990,"INTERNATIONAL FEATURE FILM","Waltzing Regitze","False",NA,NA,NA,NA,NA,NA,NA
"395",1990,"INTERNATIONAL FEATURE FILM","What Happened to Santiago","False",NA,NA,NA,NA,NA,NA,NA
"408",1990,"WRITING","Born on the Fourth of July","False",1989,"Biography","Drama","War",7.2,70001698,"145"
"410",1990,"WRITING","Driving Miss Daisy","True",1989,"Comedy","Drama","Romance",7.3,106593296,"99"
"411",1990,"WRITING","Enemies, A Love Story","False",1989,"Comedy","Drama","Romance",6.6,7754571,"119"
"412",1990,"WRITING","Field of Dreams","False",1989,"Drama","Family","Fantasy",7.5,64431625,"107"
"415",1990,"WRITING","My Left Foot","False",1989,"Biography","Drama",NA,7.8,14743391,"103"
"416",1990,"WRITING","When Harry Met Sally...","False",1989,"Comedy","Drama","Romance",7.7,92823600,"95"
"112",1990,"WRITING","Crimes and Misdemeanors","False",1989,"Comedy","Drama",NA,NA,1.9e+07,"104"
"1131",1990,"WRITING","Dead Poets Society","True",1989,"Drama",NA,NA,NA,16400000,"128"
"114",1990,"WRITING","Do the Right Thing","False",1989,"Drama",NA,NA,NA,6500000,"120"
"405",1990,"WRITING","sex, lies, and videotape","False",NA,NA,NA,NA,NA,NA,NA
"425",1991,"BEST PICTURE","Awakenings","False",1990,"Biography","Drama",NA,7.8,52096475,"121"
"426",1991,"BEST PICTURE","Ghost","False",1990,"Drama","Fantasy","Romance",7.1,217631306,"127"
"418",1991,"BEST PICTURE","Dances With Wolves","True",NA,NA,NA,NA,NA,NA,NA
"427",1991,"BEST PICTURE","The Godfather, Part III","False",NA,NA,NA,NA,NA,NA,NA
"433",1991,"BEST PICTURE","Good Fellas","False",NA,NA,NA,NA,NA,NA,NA
"417",1991,"INTERNATIONAL FEATURE FILM","Cyrano de Bergerac","False",1990,"Comedy","Drama","History",7.5,15140007,"137"
"420",1991,"INTERNATIONAL FEATURE FILM","Journey of Hope","True",1990,"Adventure","Drama",NA,7.5,261718,"105"
"421",1991,"INTERNATIONAL FEATURE FILM","Ju Dou","False",1990,"Drama","Romance",NA,7.6,1986433,"95"
"422",1991,"INTERNATIONAL FEATURE FILM","The Nasty Girl","False",1990,"Comedy","Drama","History",7.3,2281569,"92"
"424",1991,"INTERNATIONAL FEATURE FILM","Open Doors","False",1990,"Crime","Drama",NA,7.2,123470,"108"
"429",1991,"WRITING","Awakenings","False",1990,"Biography","Drama",NA,7.8,52096475,"121"
"430",1991,"WRITING","The Grifters","False",1990,"Crime","Drama","Thriller",6.9,13446769,"110"
"432",1991,"WRITING","Reversal of Fortune","False",1990,"Biography","Drama","Mystery",7.2,15445131,"111"
"434",1991,"WRITING","Alice","False",1990,"Comedy","Romance",NA,6.6,7331647,"106"
"435",1991,"WRITING","Ghost","True",1990,"Drama","Fantasy","Romance",7.1,217631306,"127"
"438",1991,"WRITING","Green Card","False",1990,"Comedy","Drama","Romance",6.3,29888235,"107"
"439",1991,"WRITING","Metropolitan","False",1990,"Comedy","Drama","Romance",7.3,2938208,"98"
"1155",1991,"WRITING","Avalon","False",1990,"Drama",NA,NA,NA,NA,"126"
"442",1991,"WRITING","Dances With Wolves","True",NA,NA,NA,NA,NA,NA,NA
"452",1991,"WRITING","Good Fellas","False",NA,NA,NA,NA,NA,NA,NA
"445",1992,"BEST PICTURE","Beauty and the Beast","False",1991,"Animation","Family","Fantasy",8,218967620,"84"
"449",1992,"BEST PICTURE","Bugsy","False",1991,"Biography","Crime","Drama",6.8,49114016,"136"
"451",1992,"BEST PICTURE","JFK","False",1991,"Drama","History","Thriller",8,70405498,"189"
"453",1992,"BEST PICTURE","The Prince of Tides","False",1991,"Drama","Romance",NA,6.8,74787599,"132"
"454",1992,"BEST PICTURE","The Silence of the Lambs","True",1991,"Crime","Drama","Thriller",8.6,130742922,"118"
"440",1992,"INTERNATIONAL FEATURE FILM","The Elementary School","False",1991,"Adventure","Comedy","Drama",7.8,NA,"100"
"443",1992,"INTERNATIONAL FEATURE FILM","Mediterraneo","True",1991,"Comedy","Drama","War",7.4,4532791,"96"
"444",1992,"INTERNATIONAL FEATURE FILM","Raise the Red Lantern","False",1991,"Drama","Romance",NA,8.1,2603061,"125"
"1161",1992,"INTERNATIONAL FEATURE FILM","Children of Nature","False",1991,"Romance","Drama",NA,NA,NA,"82"
"117",1992,"INTERNATIONAL FEATURE FILM","The Ox","False",1991,"Drama",NA,NA,NA,NA,"92"
"456",1992,"WRITING","Europa Europa","False",1990,"Drama","History","War",7.6,5575738,"112"
"458",1992,"WRITING","JFK","False",1991,"Drama","History","Thriller",8,70405498,"189"
"460",1992,"WRITING","The Prince of Tides","False",1991,"Drama","Romance",NA,6.8,74787599,"132"
"461",1992,"WRITING","The Silence of the Lambs","True",1991,"Crime","Drama","Thriller",8.6,130742922,"118"
"463",1992,"WRITING","Bugsy","False",1991,"Biography","Crime","Drama",6.8,49114016,"136"
"465",1992,"WRITING","The Fisher King","False",1991,"Comedy","Drama","Fantasy",7.5,41895491,"137"
"466",1992,"WRITING","Grand Canyon","False",1991,"Crime","Drama",NA,6.9,33243020,"134"
"467",1992,"WRITING","Thelma & Louise","True",1991,"Adventure","Crime","Drama",7.5,45361000,"130"
"1183",1992,"WRITING","Fried Green Tomatoes","False",1991,"Drama","Comedy",NA,NA,1.1e+07,"130"
"464",1992,"WRITING","Boyz N the Hood","False",NA,NA,NA,NA,NA,NA,NA
"475",1993,"BEST PICTURE","The Crying Game","False",1992,"Crime","Drama","Romance",7.2,62549000,"112"
"478",1993,"BEST PICTURE","A Few Good Men","False",1992,"Drama","Thriller",NA,7.7,141340178,"138"
"479",1993,"BEST PICTURE","Howards End","False",1992,"Drama","Romance",NA,7.4,25967000,"142"
"121",1993,"BEST PICTURE","Scent of a Woman","False",1992,"Drama",NA,NA,NA,3.1e+07,"157"
"1222",1993,"BEST PICTURE","Unforgiven","True",1992,"Western",NA,NA,NA,1.4e+07,"131"
"469",1993,"INTERNATIONAL FEATURE FILM","Close to Eden","False",1991,"Adventure","Drama","Romance",7.6,NA,"119"
"471",1993,"INTERNATIONAL FEATURE FILM","Daens","False",1992,"Biography","Drama","History",7.6,NA,"138"
"473",1993,"INTERNATIONAL FEATURE FILM","Indochine","True",1992,"Drama","Romance","War",7,5734232,"160"
"1191",1993,"INTERNATIONAL FEATURE FILM","A Place in the World","False",1992,"Action","Drama",NA,NA,NA,"120"
"1201",1993,"INTERNATIONAL FEATURE FILM","Schtonk!","False",1992,"History","Comedy",NA,NA,NA,"115"
"480",1993,"WRITING","Howards End","True",1992,"Drama","Romance",NA,7.4,25967000,"142"
"481",1993,"WRITING","The Player","False",1992,"Comedy","Crime","Drama",7.5,21706100,"124"
"483",1993,"WRITING","The Crying Game","True",1992,"Crime","Drama","Romance",7.2,62549000,"112"
"486",1993,"WRITING","Husbands and Wives","False",1992,"Comedy","Drama","Romance",7.5,10555619,"108"
"487",1993,"WRITING","Lorenzo's Oil","False",1992,"Biography","Drama",NA,7.3,7286388,"129"
"123",1993,"WRITING","Enchanted April","False",1991,"Romance","Drama",NA,NA,NA,"89"
"1242",1993,"WRITING","Scent of a Woman","False",1992,"Drama",NA,NA,NA,3.1e+07,"157"
"1251",1993,"WRITING","Passion Fish","False",1992,"Drama",NA,NA,NA,NA,"135"
"126",1993,"WRITING","Unforgiven","False",1992,"Western",NA,NA,NA,1.4e+07,"131"
"472",1993,"WRITING","A River Runs through It","False",NA,NA,NA,NA,NA,NA,NA
"494",1994,"BEST PICTURE","The Fugitive","False",1993,"Action","Crime","Drama",7.8,183875760,"130"
"498",1994,"BEST PICTURE","In the Name of the Father","False",1993,"Biography","Crime","Drama",8.1,25010410,"133"
"500",1994,"BEST PICTURE","The Piano","False",1993,"Drama","Music","Romance",7.5,40158000,"121"
"501",1994,"BEST PICTURE","The Remains of the Day","False",1993,"Drama","Romance",NA,7.8,22954968,"134"
"502",1994,"BEST PICTURE","Schindler's List","True",1993,"Biography","Drama","History",9,96898818,"195"
"488",1994,"INTERNATIONAL FEATURE FILM","Belle Epoque","True",1992,"Comedy","Drama","Romance",7.1,5971369,"109"
"489",1994,"INTERNATIONAL FEATURE FILM","Farewell My Concubine","False",1993,"Drama","Music","Romance",8.1,5216888,"171"
"490",1994,"INTERNATIONAL FEATURE FILM","Hedd Wyn","False",1992,"Drama","Romance","War",7.1,NA,"123"
"492",1994,"INTERNATIONAL FEATURE FILM","The Scent of Green Papaya","False",1993,"Drama","Music","Romance",7.3,1910763,"104"
"493",1994,"INTERNATIONAL FEATURE FILM","The Wedding Banquet","False",1993,"Comedy","Drama","Romance",7.6,6933459,"106"
"504",1994,"WRITING","The Age of Innocence","False",1993,"Drama","Romance",NA,7.2,32200000,"139"
"505",1994,"WRITING","In the Name of the Father","False",1993,"Biography","Crime","Drama",8.1,25010410,"133"
"507",1994,"WRITING","The Remains of the Day","False",1993,"Drama","Romance",NA,7.8,22954968,"134"
"508",1994,"WRITING","Schindler's List","True",1993,"Biography","Drama","History",9,96898818,"195"
"510",1994,"WRITING","Shadowlands","False",1993,"Biography","Drama","Romance",7.4,25842000,"131"
"512",1994,"WRITING","Dave","False",1993,"Comedy","Romance",NA,6.9,63270710,"110"
"513",1994,"WRITING","In the Line of Fire","False",1993,"Action","Crime","Drama",7.2,102314283,"128"
"516",1994,"WRITING","The Piano","True",1993,"Drama","Music","Romance",7.5,40158000,"121"
"517",1994,"WRITING","Sleepless in Seattle","False",1993,"Comedy","Drama","Romance",6.8,126533006,"105"
"1271",1994,"WRITING","Philadelphia","False",1993,"Drama",NA,NA,NA,2.6e+07,"126"
"522",1995,"BEST PICTURE","Forrest Gump","True",1994,"Drama","Romance",NA,8.8,330252182,"142"
"523",1995,"BEST PICTURE","Four Weddings and a Funeral","False",1994,"Comedy","Drama","Romance",7.1,52700832,"117"
"524",1995,"BEST PICTURE","Pulp Fiction","False",1994,"Crime","Drama",NA,8.9,107928762,"154"
"525",1995,"BEST PICTURE","Quiz Show","False",1994,"Biography","Drama","History",7.5,24822619,"133"
"129",1995,"BEST PICTURE","The Shawshank Redemption","False",1994,"Drama","Crime",NA,NA,2.5e+07,"142"
"518",1995,"INTERNATIONAL FEATURE FILM","Before the Rain","False",1994,"Drama","Romance","War",7.9,763847,"113"
"520",1995,"INTERNATIONAL FEATURE FILM","Burnt by the Sun","True",1994,"Drama","War",NA,7.8,2616503,"135"
"521",1995,"INTERNATIONAL FEATURE FILM","Eat Drink Man Woman","False",1994,"Comedy","Drama","Romance",7.8,7294403,"124"
"128",1995,"INTERNATIONAL FEATURE FILM","Strawberry and Chocolate","False",1993,"Comedy","Drama",NA,NA,NA,"108"
"484",1995,"INTERNATIONAL FEATURE FILM","Farinelli: Il Castrato","False",NA,NA,NA,NA,NA,NA,NA
"527",1995,"WRITING","Forrest Gump","True",1994,"Drama","Romance",NA,8.8,330252182,"142"
"528",1995,"WRITING","The Madness of King George","False",1994,"Biography","Comedy","Drama",7.2,15238994,"110"
"530",1995,"WRITING","Quiz Show","False",1994,"Biography","Drama","History",7.5,24822619,"133"
"532",1995,"WRITING","Four Weddings and a Funeral","False",1994,"Comedy","Drama","Romance",7.1,52700832,"117"
"533",1995,"WRITING","Heavenly Creatures","False",1994,"Biography","Crime","Drama",7.3,3049135,"99"
"536",1995,"WRITING","Pulp Fiction","True",1994,"Crime","Drama",NA,8.9,107928762,"154"
"1304",1995,"WRITING","Nobody's Fool","False",1994,"Drama","Comedy",NA,NA,NA,"110"
"131",1995,"WRITING","The Shawshank Redemption","False",1994,"Drama","Crime",NA,NA,2.5e+07,"142"
"491",1995,"WRITING","Bullets over Broadway","False",NA,NA,NA,NA,NA,NA,NA
"503",1995,"WRITING","Red","False",NA,NA,NA,NA,NA,NA,NA
"539",1996,"BEST PICTURE","Apollo 13","False",1995,"Adventure","Drama","History",7.7,173837933,"140"
"541",1996,"BEST PICTURE","Babe","False",1995,"Comedy","Drama","Family",6.9,66600000,"91"
"542",1996,"BEST PICTURE","Braveheart","True",1995,"Biography","Drama","History",8.4,75600000,"178"
"545",1996,"BEST PICTURE","Sense and Sensibility","False",1995,"Drama","Romance",NA,7.7,43182776,"136"
"515",1996,"BEST PICTURE","The Postman (Il Postino)","False",NA,NA,NA,NA,NA,NA,NA
