Rk,Date,Comp,Round,Venue,Squad,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Score,Goalkeeper,Assist,GCA1,Type,GCA2,Type,Notes
73,2021-09-18,Bundesliga,Matchweek 5,Home,Bayern Munich,Bochum,Y,0.97,0.99,Right Foot,1,61,4-0,Manuel Riemann,,,,,,
74,2021-09-14,Champions Lg,Group stage,Away,Bayern Munich,Barcelona,Y,0.61,0.94,Left Foot,9,85,2-0,Marc-André ter Stegen,Serge Gnabry,Robert Lewandowski,Take-On,Serge Gnabry,Shot,Deflected
75,2021-09-14,Champions Lg,Group stage,Away,Bayern Munich,Barcelona,Y,0.47,0.60,Left Foot,9,56,1-0,Marc-André ter Stegen,Jamal Musiala,Jamal Musiala,Shot,,,
76,2021-09-11,Bundesliga,Matchweek 4,Away,Bayern Munich,RB Leipzig,Y,0.79,0.98,Right Foot,13,12,0-0,Péter Gulácsi,,,Fouled,Lucas Hernández,Pass (Live),
,,,,,,,,,,,,,,,,,,,,
77,2021-09-05,WCQ,First round,Away,Poland,San Marino,Y*,,,,,21,2-0,Elia Benedettini,Damian Szymański,,,,,
78,2021-09-05,WCQ,First round,Away,Poland,San Marino,Y*,,,,,4,0-0,Elia Benedettini,Karol Linetty,,,,,
79,2021-09-02,WCQ,First round,Home,Poland,Albania,Y*,,,,,12,0-0,Etrit Berisha,Kamil Glik,,,,,
,,,,,,,,,,,,,,,,,,,,
80,2021-08-28,Bundesliga,Matchweek 3,Home,Bayern Munich,Hertha BSC,Y,0.69,0.44,Head,4,84,4-0,Alexander Schwolow,Tanguy Nianzou,Tanguy Nianzou,Pass (Live),Joshua Kimmich,Pass (Dead),
81,2021-08-28,Bundesliga,Matchweek 3,Home,Bayern Munich,Hertha BSC,Y,0.50,0.43,Left Foot,8,70,3-0,Alexander Schwolow,Leroy Sané,Leroy Sané,Pass (Live),Thomas Müller,Pass (Live),
82,2021-08-28,Bundesliga,Matchweek 3,Home,Bayern Munich,Hertha BSC,Y,0.39,0.93,Head,4,34,1-0,Alexander Schwolow,,Robert Lewandowski,Shot,,,
83,2021-08-22,Bundesliga,Matchweek 2,Home,Bayern Munich,Köln,Y,0.57,0.92,Right Foot,5,50,0-0,Timo Horn,Jamal Musiala,Jamal Musiala,Pass (Live),Jamal Musiala,Take-On,
84,2021-08-17,DFL-Supercup,DFL-Supercup,Away,Bayern Munich,Dortmund,Y,,,,,74,2-1,Gregor Kobel,Corentin Tolisso,,,,,
85,2021-08-17,DFL-Supercup,DFL-Supercup,Away,Bayern Munich,Dortmund,Y,,,,,41,0-0,Gregor Kobel,Serge Gnabry,,,,,
86,2021-08-13,Bundesliga,Matchweek 1,Away,Bayern Munich,M'Gladbach,Y,0.16,0.06,Right Foot,9,42,0-1,Yann Sommer,Joshua Kimmich,Joshua Kimmich,Pass (Dead),Josip Stanišić,Shot,Volley
,,,,,,,,,,,,,,,,,,,,
87,2021-06-23,UEFA Euro,Group stage,Neutral,Poland,Sweden,Y*,0.42,0.83,Left Foot,9,84,1-2,Robin Olsen,Przemysław Frankowski,Przemysław Frankowski,Pass (Live),Jakub Świerczok,Pass (Live),
88,2021-06-23,UEFA Euro,Group stage,Neutral,Poland,Sweden,Y*,0.07,0.47,Right Foot,17,61,0-2,Robin Olsen,Piotr Zieliński,Piotr Zieliński,Pass (Live),Kamil Jóźwiak,Tackle,
89,2021-06-19,UEFA Euro,Group stage,Neutral,Poland,Spain,Y*,0.10,0.41,Head,8,54,0-1,Unai Simón,Kamil Jóźwiak,Kamil Jóźwiak,Pass (Live),Mateusz Klich,Pass (Live),
,,,,,,,,,,,,,,,,,,,,
90,2021-05-22,Bundesliga,Matchweek 34,Home,Bayern Munich,Augsburg,Y,0.69,0.89,Right Foot,7,90,4-2,Rafał Gikiewicz,,Robert Lewandowski,Take-On,Leroy Sané,Shot,
91,2021-05-15,Bundesliga,Matchweek 33,Away,Bayern Munich,Freiburg,Y,0.79,0.98,Right Foot,13,26,0-0,Mark Flekken,,Thomas Müller,Fouled,,,
92,2021-05-08,Bundesliga,Matchweek 32,Home,Bayern Munich,M'Gladbach,Y,0.79,0.99,Right Foot,13,65,4-0,Yann Sommer,,,Fouled,Leon Goretzka,Shot,
93,2021-05-08,Bundesliga,Matchweek 32,Home,Bayern Munich,M'Gladbach,Y,0.07,0.23,Right Foot,10,34,2-0,Yann Sommer,Thomas Müller,,,,,Volley
94,2021-05-08,Bundesliga,Matchweek 32,Home,Bayern Munich,M'Gladbach,Y,0.05,0.41,Right Foot,13,2,0-0,Yann Sommer,David Alaba,David Alaba,Pass (Live),Thomas Müller,Pass (Live),
95,2021-04-24,Bundesliga,Matchweek 31,Away,Bayern Munich,Mainz 05,Y,0.55,0.97,Right Foot,10,90+4,0-2,Robin Zentner,,,,,,
